match_id,point_no,p1_sets,p1_games,p1_score,p1_points_won,ue_game_player1,npr_game_p1,bpr_game_p1,serve_no,ace_p1,p1_double_fault,speed_mph,ue_game_player1,p1_net_pt_won,p1_break_pt_won,point_victor,p1_winner,p1_distance_run,rally_count
2023-wimbledon-1301,1,0,0,0.0,0,1,0.0,0.0,2,0,0,95.0,1,0,0,2,0,6.0,2
2023-wimbledon-1301,2,0,0,0.0,1,1,0.0,0.0,1,0,0,118.0,1,0,0,1,0,5.253,1
2023-wimbledon-1301,3,0,0,1.0,1,2,0.0,0.0,1,0,0,120.0,2,0,0,2,0,13.8,4
2023-wimbledon-1301,4,0,0,1.0,2,2,0.0,0.0,1,0,0,130.0,2,0,0,1,1,51.108,13
2023-wimbledon-1301,5,0,0,2.0,3,2,0.0,0.0,1,1,0,112.0,2,0,0,1,1,0.649,1
2023-wimbledon-1301,6,0,0,3.0,3,2,0.0,0.0,2,1,0,97.0,2,0,0,2,0,5.291,2
2023-wimbledon-1301,7,0,0,3.0,4,2,0.0,0.0,1,2,0,109.0,2,0,0,1,1,6.817,1
2023-wimbledon-1301,8,0,0,4.0,4,2,0.0,0.0,2,2,0,105.0,2,0,0,2,0,17.503,6
2023-wimbledon-1301,9,0,0,3.0,5,2,1.0,0.0,1,2,0,128.0,2,1,0,1,0,34.489,7
2023-wimbledon-1301,10,0,0,4.0,6,2,1.0,0.0,1,2,0,110.0,2,0,0,1,0,21.235,5
2023-wimbledon-1301,11,0,1,0.0,6,0,0.0,0.0,1,0,0,112.0,0,0,0,2,0,5.785,1
2023-wimbledon-1301,12,0,1,0.0,7,0,0.0,0.0,1,0,0,130.0,0,0,0,1,0,19.744,4
2023-wimbledon-1301,13,0,1,1.0,8,0,0.0,0.0,1,0,0,120.0,0,0,0,1,0,26.013,4
2023-wimbledon-1301,14,0,1,2.0,8,0,0.0,0.0,1,0,0,128.0,0,0,0,2,0,10.667,3
2023-wimbledon-1301,15,0,1,2.0,8,0,0.0,0.0,1,0,0,130.0,0,0,0,2,0,3.399,1
2023-wimbledon-1301,16,0,1,2.0,9,0,0.0,0.0,2,0,0,97.0,0,0,0,1,0,5.3,2
2023-wimbledon-1301,17,0,1,3.0,9,0,0.0,0.0,1,0,0,124.0,0,0,0,2,0,5.245,1
2023-wimbledon-1301,18,0,1,3.0,9,0,0.0,0.0,1,0,0,116.0,0,0,0,2,0,15.194,3
2023-wimbledon-1301,19,0,1,0.0,10,0,0.0,0.0,1,1,0,126.0,0,0,0,1,1,0.899,1
2023-wimbledon-1301,20,0,1,1.0,11,0,0.0,0.0,1,1,0,127.0,0,0,0,1,0,18.088,5
2023-wimbledon-1301,21,0,1,2.0,11,0,0.0,0.0,1,1,0,114.0,0,0,0,2,0,7.288,2
